疡,yáng,dương,loét/vết loét,,,,,,,
兖,yǎn,duyện,dùng trong 兗州|兖州[Yan3 zhou1],,,,,,,
妾,qiè,thiếp,"thiếp/tôi, người hầu của ngài (cách tự xưng khiêm tốn của phụ nữ)",,,,,,,
劾,hé,hặc,luận tội,,,,,,,
炜,wěi,vĩ,rực rỡ/sáng/ngời,,,,,,,
𬉼,ǒu,âu,hạn hán nghiêm trọng/thời tiết nóng bức bất thường | khói nhiều do củi cháy âm ỉ/cháy dở/dùng khói ngải cứu đốt để xua đuổi côn trùng,,,,,,,
炘,xīn,hân,nắng gắt buổi trưa/nhiệt,,,,,,,
炝,qiàng,sang,"xào nhanh rồi nấu với nước sốt và nước/chần thức ăn rồi trộn với xì dầu,.../làm nghẹn; kích thích (cổ họng,...)",,,,,,,
炔,quē,quế,họ [Gui4] | ankin/cũng đọc là [jue2],,,,,,,
泔,gān,cam,nước vo gạo,,,,,,,
沭,shù,thuật,sông ở Sơn Đông,,,,,,,
泷,lóng|shuāng,lang,sông Shuang ở Hồ Nam và Quảng Đông (hiện là sông Vu 武水) | ghềnh/thác nước/mưa xối xả,,,,,,,
泸,lú,lô,tên cũ của một con sông ở Giang Tây/tên địa danh,,,,,,,
泱,yāng,ương,"kích động (gió, mây)/bao la",,,,,,,
泅,qiú,tù,bơi (dạng kết hợp),,,,,,,
泗,sì,tứ,sông ở Sơn Đông | nước mũi,,,,,,,
泠,líng,linh,họ [Ling2] | tiếng nước chảy,,,,,,,
泺,luò,lạc,tên một con sông,,,,,,,
泖,mǎo,mão,nước tĩnh,,,,,,,
泫,xuàn,huyễn,khóc,,,,,,,
泮,pàn,phán,(văn học) tan chảy/hòa tan,,,,,,,
沱,tuó,đà,đẫm lệ/phân nhánh (của sông),,,,,,,
泯,mǐn,mẫn,biến thể của 泯[min3] | (hình thức liên kết) biến mất, mai một, xóa sổ,,,,,
泓,hóng,hoằng,trong rõ/rộng và sâu/lượng từ cho một vùng nước trong,,,,,,,
泾,jīng,kính,sông Kinh,,,,,,,
怙,hù,hỗ,dựa vào/cha (trang trọng),,,,,,,
怵,chù,truật,sợ hãi/nhút nhát/sợ,,,,,,,
怦,pēng,phanh,(từ tượng thanh) tim đập thình thịch,,,,,,,
怛,dá,đát,đau buồn/sợ hãi/sốc/đau lòng,,,,,,,
怏,yàng,ưởng,bất mãn,,,,,,,
怍,zuò,tạc,xấu hổ,,,,,,,
㤘,zhòu,zhòu,(phương ngữ) cứng đầu,,,,,,,
怩,ní,ny,rụt rè/nhút nhát/thẹn thùng/trông có vẻ xấu hổ,,,,,,,
怫,fú,phật,tức giận | lo lắng,,,,,,,
怿,yì,dịch,vui mừng/hân hoan,,,,,,,
宕,dàng,đãng,phóng đãng/trì hoãn,,,,,,,
穹,qióng,khung,vòm/mái vòm/bầu trời,,,,,,,
宓,fú|mì,mật,họ [Mi4] | yên lặng/im lìm,,,,,,,
诓,kuāng,cuống,lừa dối/lừa gạt,,,,,,,
诔,lěi,lụy,ca ngợi người đã khuất/điếu văn,,,,,,,
诖,guà,quái,lừa dối/quấy rầy,,,,,,,
诘,jié,cật,điều tra/kiềm chế/mắng mỏ,,,,,,,
戾,lì,lệ,bẻ cong/vi phạm/đi ngược lại/tàn nhẫn và bạo ngược,,,,,,,
诙,huī,khôi,kỳ quặc/hài hước,,,,,,,
戽,hù,hố,gầu nước để tưới tiêu,,,,,,,
郓,yùn,vận,địa danh,,,,,,,
衩,chǎ|chà,xái,đường may hở của quần áo/quần đùi/quần lót | đường xẻ ở hai bên áo,,,,,,,
祆,xiān,hiên,"Ahura Mazda, vị thần sáng tạo trong đạo Bái Hỏa",,,,,,,
祎,yī,y,xuất sắc/quý giá/hiếm/tốt/(dùng trong tên gọi),,,,,,,
祉,zhǐ,chỉ,hạnh phúc,,,,,,,
祇,qí,kì,biến thể của 只[zhi3] | thần đất,,,,,,,
诛,zhū,tru,xử tử (một tội phạm)/trừng phạt,,,,,,,
诜,shēn,sân,thông báo/hỏi thăm,,,,,,,
诟,gòu,cấu,ô nhục/chửi bới,,,,,,,
诠,quán,thuyên,giải thích/bình luận/chú giải,,,,,,,
诣,yì,nghệ,đi (thăm người cấp trên)/trình độ hiện tại trong học vấn hoặc nghệ thuật,,,,,,,
诤,zhèng,tránh,khuyên răn/cảnh báo ai về lỗi lầm/phê bình thẳng thắn/Đài Loan phát âm [zheng1],,,,,,,
诨,hùn,ngộn,lời đùa/tên hiệu,,,,,,,
诩,xǔ,hủ,khoe khoang/phổ biến/đáng yêu,,,,,,,
戕,qiāng,tường,giết/làm bị thương/đọc ở Đài Loan: [qiang2],,,,,,,
孢,bāo,bào,bào tử,,,,,,,
亟,jí|qì,cức,khẩn cấp | lặp đi lặp lại/thường xuyên,,,,,,,
陔,gāi,cai,bậc/thềm,,,,,,,
妲,dá,đát,tên nữ (cổ đại),,,,,,,
妯,zhóu,trục,dùng trong 妯娌[zhou2 li5],,,,,,,
姗,shān,san,chê bai/thướt tha (dáng đi của phụ nữ)/thong thả/chậm rãi,,,,,,,
帑,tǎng,nô,kho bạc nhà nước/quỹ công,,,,,,,
弩,nǔ,nỗ,nỏ,,,,,,,
孥,nú,nô,con/cháu,,,,,,,
驽,nú,nô,(văn học) ngựa kém,,,,,,,
虱,shī,sắt,con chấy | con rận,,,,,,,
迦,jiā,già,(âm đọc phiên âm cho các thuật ngữ Phật giáo),,,,,,,
迨,dài,đãi,cho đến/khi,,,,,,,
绀,gàn,cám,màu tím hoặc màu tía,,,,,,,
绁,xiè,tiết,buộc/trói/dắt bằng dây/dây thừng/dây | biến thể của 紲|绁[xie4],,,,,,,
绂,fú,phất,dải đeo ấn/đai lưng,,,,,,,
驷,sì,tứ,đội bốn con ngựa,,,,,,,
驸,fù,phụ,phò mã,,,,,,,
绉,zhòu,trứu,vải crepe/nếp nhăn,,,,,,,
绌,chù,truất,lụa đỏ thẫm/sự thiếu hụt/khâu vá,,,,,,,
驿,yì,dịch,ngựa trạm/trạm chuyển phát,,,,,,,
骀,dài|tái,đài,ngựa mệt mỏi/kiệt sức,,,,,,,
甾,zāi,tai,nhân steroid,,,,,,,
珏,jué,giác,hai viên ngọc gắn cùng nhau,,,,,,,
珐,fà,pháp,đồ tráng men/đồ tráng men đồng,,,,,,,
珂,kē,kha,đá giống ngọc,,,,,,,
珑,lóng,lung,tiếng trang sức ngọc kêu,,,,,,,
玳,dài,đại,mai rùa/rùa | biến thể của 玳[dai4],,,,,,,
珀,pò,phách,dùng trong 琥珀[hu3 po4],,,,,,,
顸,hān,han,lề mề,,,,,,,
珉,mín,mân,"đá cẩm thạch, đá giống ngọc",,,,,,,
珈,jiā,gia,gamma/đồ trang sức,,,,,,,
拮,jié,kiết,đối kháng/lao lực/vất vả,,,,,,,
垭,yā,yā,(phương ngữ) dải đất giữa các ngọn đồi/dùng trong địa danh/cũng đọc là [ya4],,,,,,,
挝,wō,qua,vũ khí cổ có đầu giống tay hoặc vuốt | đánh đập,,,,,,,
垣,yuán,viên,tường,,,,,,,
挞,tà,thát,(dạng kết hợp) đánh roi, đánh đập/(từ mượn) bánh tart,,,,,,
垤,dié,điệt,tổ kiến/gò đất,,,,,,,
赳,jiū,củ,xem 赳赳[jiu1 jiu1],,,,,,,
贲,bēn,bí,họ [Ben1] | mạnh mẽ | sáng,,,,,,,
垱,dàng,dàng,(phương ngữ) bờ đất trong sông hoặc ruộng (để tưới tiêu),,,,,,,
垌,dòng|tóng,dũng,cánh đồng/nông trại/dùng trong địa danh,,,,,,,
郝,hǎo,hác,tên địa danh cổ/họ [Hao3],,,,,,,
垧,shǎng,thưởng,"đơn vị diện tích đất (tương đương 10 hoặc 15 mǔ 畝|亩[mu3] ở một số nơi đông bắc Trung Quốc, nhưng chỉ 3 hoặc 5 mǔ ở tây bắc Trung Quốc)",,,,,,,
垓,gāi,cai,ranh giới,,,,,,,
挦,xián,triêm,nhổ (đặc biệt là tóc hoặc lông)/hái/ngắt/nghĩa bóng: trích (dòng từ văn bản),,,,,,,
垠,yín,ngân,giới hạn/biên giới/bờ sông,,,,,,,
茜,qiàn|xī,thiến,Rubia cordifolia/cây mài đỏ/cây munjeet | dùng trong phiên âm tên người,,,,,,,
荚,jiá,giáp,quả đậu (thực vật),,,,,,,
荑,tí|yí,đề,(cỏ) | nhổ cỏ,,,,,,,
贳,shì,thế,mượn/mua chịu/cho thuê,,,,,,,
荜,bì,tất,đậu/họ đậu,,,,,,,
莒,jǔ,cử,nước chư hầu thời Chu ở khu vực tỉnh Sơn Đông ngày nay | tên gọi khác của khoai môn (cũ),,,,,,,
茼,tóng,đồng,cải cúc,,,,,,,
茴,huí,hồi,(dạng kết hợp) thì là,,,,,,,
茱,zhū,thù,quả nhót tây,,,,,,,
莛,tíng,đình,thân cỏ,,,,,,,
荞,qiáo,kiều,cây kết lương (Malva sinensis)/biến thể của 蕎|荞[qiao2] | dùng trong 蕎麥|荞麦[qiao2 mai4],,,,,,,
茯,fú,phục,dùng trong 茯苓[fu2 ling2],,,,,,,
荏,rěn,nhẫm,cây tía tô (Perilla frutescens)/mềm/yếu,,,,,,,
荇,xìng,hạnh,cây bèo cái vàng (Nymphoides peltatum),,,,,,,
荃,quán,thuyên,(cây thơm),,,,,,,
荟,huì,oái,phát triển mạnh/tăng trưởng um tùm,,,,,,,
荀,xún,tuân,họ [Xun2] | thảo mộc (cổ),,,,,,,
茗,míng,mính,cây chè (Thea sinensis)/lá chè non,,,,,,,
荠,jì|qí,tề,xem 薺菜|荠菜[ji4 cai4] | củ năng,,,,,,,
茭,jiāo,giao,cây lúa hoang Zizania aquatica,,,,,,,
茨,cí,tỳ,cây gai dầu (Tribulus terrestris)/lợp mái (nhà),,,,,,,
垩,è,ác,quét vôi/trát vữa,,,,,,,
荥,xíng|yíng,huỳnh,tên địa danh,,,,,,,
荦,luò,lạc,bò đốm/rõ ràng/kiệt xuất,,,,,,,
荨,qián|xún,tầm,dùng trong 蕁麻|荨麻[qian2 ma2]/cũng đọc là [xun2],,,,,,,
荩,jìn,tẫn,Arthraxon ciliare/trung thành,,,,,,,
剋,kēi,khắc,"Khắc (khoảng năm 2000 TCN), vị thứ bảy trong truyền thuyết về Viêm Đế, 炎帝[Yan2 di4] hậu duệ của Thần Nông 神農|神农[Shen2 nong2] Thần Nông | biến thể của 克[ke4]/chế ngự/lật đổ/kiềm chế | mắng/đánh đập",,,,,,,
荪,sūn,tôn,cỏ thơm,,,,,,,
茹,rú,như,họ [Ru2] | ăn/(nghĩa mở rộng) chịu đựng/mùi hôi thối/rau/cội rễ (gắn chặt vào cây),,,,,,,
荬,mǎi,mǎi,xem 苣蕒菜|苣荬菜[ju4 mai3 cai4],,,,,,,
荮,zhòu,zhòu,"(tiếng địa phương) gói bằng rơm/lượng từ cho một bó (bát, đĩa, v.v.) buộc bằng rơm",,,,,,,
柰,nài,nại,cây táo dại lá lê Trung Quốc,,,,,,,
栉,zhì,trất,cái lược/chải/loại bỏ/loại trừ/tiếng Đài Loan đọc là [jie2],,,,,,,
柯,kē,kha,họ [Ke1] | (văn học) cành, thân, cuống/(văn học) cán rìu,,,,,
柘,zhè,chá,một loại cây có gai/mía/Cudrania triloba/cây dâu tằm Trung Quốc (Cudrania)/cây cudrania ba gai (Cudrania tricuspidata),,,,,,,
栊,lóng,long,(văn học) cửa sổ/(văn học) lồng cho động vật,,,,,,,
柩,jiù,cữu,quan tài khiêng,,,,,,,
枰,píng,bình,trò chơi giống cờ,,,,,,,
栌,lú,lô,đầu cột/cây khói,,,,,,,
柙,xiá,hiệp,lồng/chuồng/bao kiếm,,,,,,,
枵,xiāo,hiêu,(cổ) hốc cây/(văn) trống, rỗng,,,,,,
柚,yóu|yòu,dữu,bưởi (Citrus maxima hoặc C. grandis)/bưởi chùm/bưởi Đông phương,,,,,,,
枳,zhǐ,chỉ,(quả cam)/gai hàng rào,,,,,,,
柞,zhà|zuò,tạc,cây sồi/Quercus serrata,,,,,,,
柝,tuò,thác,cái lúc lắc của người gác cổng,,,,,,,
栀,zhī,chi,dành dành/hoa dành dành (Gardenia jasminoides)/giống như 梔子|栀子[zhi1 zi5],,,,,,,
柢,dǐ,để,nền tảng/gốc rễ,,,,,,,
栎,lì|yuè,lịch,cây sồi/Quercus serrata,,,,,,,
枸,gōu|gǒu|jǔ,cẩu,cong/vẹo | cây câu kỷ (Lycium chinense) | Citrus medica,,,,,,,
柈,bàn,bàn,cái đĩa,,,,,,,
柁,tuó,đả,xà chính của mái nhà,,,,,,,
枷,jiā,gia,gông (cái cùm gỗ dùng để giam giữ và trừng phạt tội phạm ở Trung Quốc),,,,,,,
柽,chēng,sanh,cây dương,,,,,,,
剌,là,lạt,rạch | ngang ngược/không lý lẽ/vô lý,,,,,,,
酊,dīng|dǐng,đính,cồn thuốc (từ mượn) | dùng trong 酩酊[ming3 ding3],,,,,,,
郦,lì,li,họ [Li4]/tên địa danh cổ,,,,,,,
甭,béng,bằng,(chữ viết tắt của 不用[bu4 yong4]) không cần, xin đừng | (tiếng địa phương) rất,,,,,,
砗,chē,xa,dùng trong 硨磲|砗磲[che1 qu2],,,,,,,
砘,dùn,dùn,(nông nghiệp) lèn chặt đất tơi xốp bằng trục lăn đá sau khi gieo hạt/trục lăn đá dùng cho mục đích này,,,,,,,
砒,pī,tì,thạch tín,,,,,,,
斫,zhuó,chước | trác,chặt/đốn/tạc gỗ | chặt/đục gỗ | biến thể của 斲|斫[zhuo2],,,,,,,
砭,biān,biêm,kim châm cứu bằng đá thời cổ/chỉ trích/châm vào,,,,,,,
砜,fēng,phong,sulfone,,,,,,,
奎,kuí,khuê,đũng quần/ngôi thứ 15 trong 28 chòm sao của thiên văn học Trung Quốc,,,,,,,
耷,dā,đạp,tai rủ xuống,,,,,,,
虺,huǐ,hủy,ốm yếu/không có tham vọng | con rắn độc trong thần thoại,,,,,,,
殂,cú,tồ,chết,,,,,,,
殇,shāng,thương,chết khi còn nhỏ/tử trận,,,,,,,
殄,tiǎn,điễn,tiêu diệt,,,,,,,
殆,dài,đãi,(văn học) nguy hiểm, hiểm nghèo/(văn học) hầu như, gần như,,,,,
轱,gū,cô,bánh xe/lăn,,,,,,,
轲,kē,kha,tên tự của Mạnh Tử | xem 轗軻|轗轲[kan3 ke3],,,,,,,
轳,lú,lô,tời quay,,,,,,,
轶,yì,dật,"xuất sắc/vượt qua/bị phân tán/biến thể của 逸[yi4], nhàn nhã",,,,,,,
轸,zhěn,chẩn,vuông/mạnh mẽ (như về cảm xúc),,,,,,,
虿,chài,sái,(bọ cạp)/một loại côn trùng,,,,,,,
毖,bì,bí,cẩn thận/ngăn ngừa,,,,,,,
觇,chān,siêm,quan sát/theo dõi/tiếng Đài Loan đọc là [zhan1],,,,,,,
尜,gá,gá,đồ chơi có dạng con quay với hai đầu nhọn,,,,,,,
哐,kuāng,kuāng,(từ tượng thanh) rầm, bang, loảng xoảng,,,,,
眄,miàn,miện,liếc mắt/nhìn hé mắt | nhìn nghiêng,,,,,,,
眍,kōu,khu,bị lõm vào (mắt),,,,,,,
𠳐,bāng,bāng,"(từ tượng thanh) rầm (tiếng cửa đóng mạnh, v.v.)/cốc cốc (tiếng gõ cửa, v.v.)",,,,,,,
郢,yǐng,dĩnh,"Yên, thủ đô cổ của nước Sở 楚 ở huyện Giang Lăng 江陵縣|江陵县, Hồ Bắc",,,,,,,
眇,miǎo,miễu,mù một mắt/mù/nhỏ bé/khiêm tốn/nhìn chằm chằm,,,,,,,
眊,mào,mạo,thị lực kém,,,,,,,
眈,dān,đam,nhìn chằm chằm,,,,,,,
禺,yú,ngu,biến thể cổ của 偶[ou3] | vùng đất cổ | con khỉ huyền thoại của Trung Quốc cổ đại,,,,,,,
哂,shěn,sẩn,(văn học) mỉm cười/chế nhạo,,,,,,,
咴,huī,huī,hí/tiếng ngựa kêu,,,,,,,
曷,hé,hạt,tại sao/như thế nào/khi nào/gì/đâu,,,,,,,
昴,mǎo,mão,chòm sao Thất Nữ,,,,,,,
昱,yù,dục,ánh sáng rực rỡ,,,,,,,
昵,nì,nật,biến thể của 暱|昵[ni4] | thân quen/thân mật/tiếp cận,,,,,,,
咦,yí,di,biểu cảm ngạc nhiên,,,,,,,
哓,xiāo,hiêu,kêu la than phiền/cằn nhằn,,,,,,,
哔,bì,tất,(phiên âm),,,,,,,
畎,quǎn,quyến,kênh thoát nước ruộng,,,,,,,
毗,pí,bì,tiếp giáp/giáp với | biến thể của 毗[pi2],,,,,,,
呲,cī,thử,(thông tục) mắng/phê bình | biến thể của 齜|龇[zi1],,,,,,,
胄,zhòu,trụ,mũ bảo hiểm/hậu duệ,,,,,,,
畋,tián,điền,canh tác (đất)/săn bắn,,,,,,,
畈,fàn,phiến,cánh đồng/nông trại,,,,,,,
虼,gè,khất,bọ chét,,,,,,,
虻,méng,manh,ruồi trâu/người hay chỉ trích | biến thể cũ của 虻[meng2],,,,,,,
盅,zhōng,chung,chén không quai/ly,,,,,,,
咣,guāng,quang,(tượng thanh) rầm/cửa đóng sầm,,,,,,,
哕,huì|yuě,uyết,dùng trong 噦噦|哕哕[hui4 hui4] | nôn/nấc/phát âm ở Đài Loan: [yue1],,,,,,,
剐,guǎ,quả,cắt xẻo thịt như một hình phạt,,,,,,,
郧,yún,vân,tên một nước chư hầu,,,,,,,
咻,xiū,hưu,gọi lớn/chế giễu,,,,,,,
囿,yòu,hữu,công viên/hạn chế/bị giới hạn vào,,,,,,,
咿,yī,y,biến thể của 咿[yi1] | (tượng thanh) kêu cót két,,,,,,,
哌,pài,pài,dùng trong phiên âm,,,,,,,
哙,kuài,khoái,họ [Kuai4] | cổ họng/nuốt | (thán từ) này,,,,,,,
哚,duǒ,duǒ,dùng trong 吲哚[yin3 duo3],,,,,,,
咯,gē|kǎ|lo|luò,lạc,"(phiên âm) | (tiểu từ ngữ khí giống 了[le5], chỉ rằng điều gì đó là rõ ràng) | ho khạc/cũng đọc là [ka3]",,,,,,,
咩,miē,mị | mã,tiếng kêu be be của cừu/hậu tố biến câu trần thuật thành câu hỏi biểu thị nghi ngờ hoặc ngạc nhiên (tiếng Quảng Đông) | biến thể cũ của 咩[mie1],,,,,,,
咤,zhà,trá,dùng trong 叱咤[chi4 zha4],,,,,,,
哝,nóng,nông,nói nhiều,,,,,,,
哏,gén,ngận,buồn cười/hài hước/cái gì đó khôi hài | biến thể cũ của 狠[hen3]/biến thể cũ của 很[hen3]/cũng được dùng để biểu thị sự tức giận,,,,,,,
哞,mōu,mâu,moo (âm thanh bò rống),,,,,,,
峣,yáo,nghiêu,cao/dốc/vươn cao,,,,,,,
罘,fú,phù,tên địa danh,,,,,,,
帧,zhēn,tránh,khung hình/phân loại cho tranh v.v./cách phát âm ở Đài Loan: [zheng4],,,,,,,
峒,dòng|tóng,đồng | đỗng,hang/động | tên một ngọn núi | biến thể của 峒[tong2],,,,,,,
峤,jiào|qiáo,kiệu,đỉnh cao nhất,,,,,,,
峋,xún,tuân,những dãy đồi núi,,,,,,,
峥,zhēng,tranh,xuất sắc/cao vút,,,,,,,
贶,kuàng,huống,ban tặng/phong tặng,,,,,,,
钚,bù,bất,plutonium (hóa học),,,,,,,
钛,tài,thái,titanium (nguyên tố hóa học),,,,,,,
钡,bèi,bối,bari (hóa học),,,,,,,
钣,bǎn,bản,tấm kim loại/tấm kim loại mỏng,,,,,,,
钤,qián,kiềm,then cửa/con dấu,,,,,,,
钨,wū,ô,tungsten (hóa học),,,,,,,
钫,fāng,phương,franci (hóa học),,,,,,,
钯,bǎ,ba,palladi (hoá học)/Phiên âm Đài Loan [ba1] | biến thể cổ của 耙[pa2],,,,,,,
氡,dōng,đông,khí radon (hóa học),,,,,,,
氟,fú,phất,flo (hóa học),,,,,,,
牯,gǔ,cổ,bò đực/bò,,,,,,,
郜,gào,cáo,họ [Gao4]/tên một nước chư hầu,,,,,,,
秕,bǐ,bỉ | chủy,hạt không phát triển đầy đủ/vỏ trấu/hạt lép/hạt chưa chín | biến thể của 秕[bi3],,,,,,,
秭,zǐ,tỉ,tỷ (một tỷ),,,,,,,
竽,yú,vu,"nhạc cụ hơi lá lưỡi tự do tương tự như sheng 笙[sheng1], được sử dụng ở Trung Quốc cổ đại",,,,,,,
笈,jí,cấp,rương (đựng sách),,,,,,,
笃,dǔ,đốc,nghiêm trọng (bệnh)/thành thật/chân thành,,,,,,,
俦,chóu,trù,đồng chí/bạn bè/đồng hành,,,,,,,
俨,yǎn,nghiễm,uy nghiêm/trang trọng,,,,,,,
俅,qiú,cầu,mũ trang trí,,,,,,,
俪,lì,lệ,vợ chồng,,,,,,,
叟,sǒu,tẩu,cụ ông/ông lão,,,,,,,
垡,fá,phạt,cày đất/đất bị cày/(dùng trong địa danh),,,,,,,
牮,jiàn,tiến,chống đỡ,,,,,,,
俣,yǔ,vũ,to lớn,,,,,,,
俚,lǐ,lý,"tên gọi cũ của dân tộc 黎[Li2] | mộc mạc/thô tục/không trau chuốt/viết tắt của 俚語|俚语[li3 yu3], tiếng lóng",,,,,,,
皈,guī,quy,tuân theo/theo,,,,,,,
俑,yǒng,dũng,tượng gỗ chôn theo người chết,,,,,,,
俟,qí|sì,sĩ,dùng trong 万俟[Mo4 qi2] | (văn học) đợi chờ | biến thể của 俟[si4],,,,,,,
逅,hòu,cấu,gặp một cách bất ngờ,,,,,,,
徇,xùn,tuẫn,"nhượng bộ/bị chi phối bởi (các cân nhắc cá nhân, v.v.)/cách phát âm tại Đài Loan [xun2]/tuân theo/phơi bày công khai/biến thể của 侚[xun4]/biến thể của 殉[xun4] | biến thể của 徇[xun4]",,,,,,,
徉,yáng,dương,đi qua đi lại,,,,,,,
舢,shān,san,xuồng tam bản,,,,,,,
俞,yú,du,họ [Yu2] | biến thể của 腧[shu4] | vâng (dùng bởi Hoàng đế hoặc người cai trị)/đồng ý/chấp thuận/tán thành,,,,,,,
郗,xī,si,họ [Chi1]/tên một thành phố cổ,,,,,,,
俎,zǔ,trở,giá để đồ cúng,,,,,,,
郤,xì,khích,họ [Xi4] | biến thể của 隙[xi4],,,,,,,
爰,yuán,viên,họ [Yuan2] | vì vậy/do đó/do vậy/do đó mà/thế là/suy ra/đâu?/thay đổi (thành)/đơn vị cổ về trọng lượng và tiền tệ,,,,,,,
郛,fú,phu,vùng ngoại ô,,,,,,,
瓴,líng,linh,rãnh lõm của ngói,,,,,,,
胨,dòng,đống,xem 蛋白腖|蛋白胨[dan4 bai2 dong4],,,,,,,
胪,lú,lư,bụng/da/trình bày/truyền đạt thông tin/trưng bày,,,,,,,
胛,jiǎ,giáp,xương bả vai,,,,,,,
胂,shèn,thân,arsine,,,,,,,
胙,zuò,tạc,ban tặng hoặc ban phát/thịt cúng tế dâng lên thần linh (cổ)/phúc lành/danh hiệu của quân vương (cổ),,,,,,,
胍,guā,cô,guanidine,,,,,,,
胗,zhēn,chân,mề,,,,,,,
胝,zhī,chi,dùng trong 胼胝[pian2 zhi1],,,,,,,
朐,qú,cù,họ [Qu2],,,,,,,
胫,jìng,hĩnh,phần dưới của chân | biến thể của 脛|胫[jing4],,,,,,,
鸨,bǎo,bảo,chim ô tác Trung Quốc/mụ chủ nhà thổ,,,,,,,
匍,pú,bồ,dùng trong 匍匐[pu2 fu2],,,,,,,
狨,róng,nhung,khỉ đuôi sóc (động vật học),,,,,,,
狯,kuài,quái,xảo quyệt/láu cá,,,,,,,
飑,biāo,tiêu,gió lốc,,,,,,,
狩,shòu,thú,săn/đi săn (như môn thể thao mùa đông thời xưa)/chó săn/tuần du của hoàng đế,,,,,,,
狲,sūn,tôn,dùng trong 猢猻|猢狲[hu2 sun1]/dùng trong 兔猻|兔狲[tu4 sun1],,,,,,,
訇,hōng,hoanh,họ [Hong1] | âm thanh của vụ va chạm,,,,,,,
逄,páng,bàng,họ [Pang2],,,,,,,
昝,zǎn,tảm,họ [Zan3],,,,,,,
饷,xiǎng,hướng,lương lính | biến thể của 餉|饷[xiang3],,,,,,,
饸,hé,hợp,xem 餄餎|饸饹[he2 le5],,,,,,,
饹,gē|le,lạc,dùng trong 餎餷|饹馇[ge1 zha5] | xem 餄餎|饸饹[he2 le5],,,,,,,
胤,yìn,dận,hậu duệ/người thừa kế/con cháu/đời sau/thừa hưởng,,,,,,,
娈,luán,luyến,đẹp đẽ,,,,,,,
奕,yì,dịch,dồi dào/duyên dáng,,,,,,,
庥,xiū,hưu,che chở/bóng râm,,,,,,,
疬,lì,lịch,xem 瘰癧|瘰疬[luo3 li4],,,,,,,
疣,yóu,vưu,nốt sùi/mụn cóc,,,,,,,
疥,jiè,giới,bệnh ghẻ,,,,,,,
疭,zòng,túng,dùng trong 瘛瘲|瘛疭[chi4 zong4],,,,,,,
庠,xiáng,tường,(cổ) trường học,,,,,,,
竑,hóng,hoành,lớn/ước lượng,,,,,,,
彦,yàn,ngạn,tài giỏi/tao nhã,,,,,,,
飒,sà,sà,biến thể của 颯|飒[sa4] | tiếng gió/dũng cảm/u sầu,,,,,,,
闼,tà,thát,cửa của phòng bên trong,,,,,,,
闾,lǘ,lư,cổng làng/làng,,,,,,,
闿,kǎi,khải,nới lỏng/mở,,,,,,,
羑,yǒu,dũ,dẫn dắt,,,,,,,
迸,bèng,bính,bung ra/phun ra/nứt/tách,,,,,,,
籼,xiān,tiên,gạo hạt dài/giống như 秈,,,,,,,
酋,qiú,tù,tù trưởng,,,,,,,
炳,bǐng,bỉnh,sáng/rực rỡ/chói lọi,,,,,,,
炻,shí,thạch,đồ gốm sứ,,,,,,,
炽,chì,sí,cháy/bừng cháy/rực rỡ/lừng lẫy,,,,,,,
炯,jiǒng,quýnh,sáng/rõ ràng | biến thể cũ của 炯[jiong3],,,,,,,
烀,hū,hū,nấu với một lượng nước nhỏ,,,,,,,
炷,zhù,chú,"bấc đèn dầu/đốt (hương, v.v.)/lượng từ cho que hương đang cháy",,,,,,,
烃,tīng,thinh,hydrocacbon,,,,,,,
洱,ěr,nhị,xem 洱海[Er3 hai3],,,,,,,
洹,huán,hoàn,tên một con sông,,,,,,,
洧,wěi,vị,tên một con sông,,,,,,,
洌,liè,liệt,tinh khiết/làm sạch,,,,,,,
浃,jiā,tiếp,ướt sũng/làm ướt/dính nước/phát âm ở Đài Loan: [jia2],,,,,,,
洇,yīn,yên,biến thể của 湮[yan1] | thấm/loang/làm lem,,,,,,,
洄,huí,hồi,nước xoáy/nước cuộn/lội ngược dòng,,,,,,,
洙,zhū,thù,họ [Zhu1] | tên một con sông,,,,,,,
涎,xián,tiên,biến thể của 涎[xian2] | nước bọt,,,,,,,
洎,jì,kịp,đến/khi,,,,,,,
洫,xù,hức,đào mương/hào nước,,,,,,,
浍,huì,quái,mương/kênh,,,,,,,
洮,táo,thao,rửa sạch/tên sông,,,,,,,
洵,xún,tuân,thực sự/xoáy nước,,,,,,,
浒,hǔ|xǔ,hử,bờ sông,,,,,,,
浔,xún,tầm,tên một con sông/bờ dốc,,,,,,,
浕,jìn,tấn,sông ở tỉnh Hồ Bắc,,,,,,,
洳,rù,như,ẩm ướt/lầy lội/đầm lầy,,,,,,,
恸,tòng,đỗng,đau buồn,,,,,,,
恓,xī,tây,phiền muộn/bực bội,,,,,,,
恹,yān,yêm,dùng trong 懨懨|恹恹[yan1 yan1],,,,,,,
恫,dòng,đỗng,làm hoảng sợ,,,,,,,
恺,kǎi,khải,vui vẻ/nhân từ,,,,,,,
恻,cè,trắc,đau buồn,,,,,,,
恂,xún,tuân,chân thành,,,,,,,
恪,kè,khác,họ [Ke4] | cung kính/cẩn trọng | biến thể của 恪[ke4],,,,,,,
恽,yùn,uẩn,họ [Yun4],,,,,,,
宥,yòu,hựu,tha thứ/giúp đỡ/sâu sắc,,,,,,,
扃,jiōng,quynh,(văn học) đóng hoặc cài cửa/cửa,,,,,,,
