Level,Hanzi,Pinyin,Sino_Vietnamese,Traditional,POS,Examples,Viet_Meaning,English_Meaning
3,按照,ànzhào,án chiếu,按照,Prep,,theo/dựa theo/chiếu theo/dựa trên,according to; in accordance with; in the light of; on the basis of
3,把,bǎ,bả,把,Prep,,cán,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})"
3,把,bǎ,bả,把,M,,cán,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})"
3,把握,bǎwò,bả ác,把握,V/N,,nắm bắt (cũng nghĩa bóng)/nắm giữ/cầm/nắm chắc/chắc chắn/chắc (kết quả),to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
3,白,bái,bạch,白,Adv,,trắng/tuyết/tinh khiết/sáng/trống/rỗng/đơn giản/rõ ràng/làm rõ/uổng/phí phạm/miễn phí/phản động/chống cộng/tang lễ/nhìn chằm chằm/viết sai chữ/phát biểu/giải thích/bạch thoại/lời thoại trong kinh kịch,surname Bai
3,白菜,báicài,bạch thái,白菜,N,,"cải thảo/cải bẹ trắng/LT: 棵[ke1], 個|个[ge4]",Chinese cabbage; pak choi
3,班级,bānjí,ban cấp,班級,N,,lớp học (nhóm học sinh)/khối lớp (trong trường),class (group of students); grade (in school)
3,搬,bān,bàn,搬,V,,di chuyển (tức là tự dời đi)/di chuyển (thứ gì đó tương đối nặng hoặc cồng kềnh)/chuyển/dọn sao chép mà không chọn lọc,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately
3,搬家,bānjiā,bàn gia,搬家,,,chuyển nhà; di dời/loại bỏ (cái gì đó),to move house; to relocate; to remove (sth)
3,板,bǎn,bản,板,N,,nhìn thấy ở cửa (cách dùng cũ),board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious
3,办理,bànlǐ,bạn lý,辦理,V,,xử lý; tiến hành; thực hiện,to handle; to transact; to conduct
3,保,bǎo,bảo,保,V,,phòng thủ; bảo vệ; giữ/bảo đảm; đảm bảo/(cũ) đơn vị hành chính trong hệ thống bảo giáp 保甲[bao3jia3],Bulgaria; Bulgarian; abbr. for 保加利亚
3,保安,bǎo'ān,bảo an,保安,N,,bảo đảm an ninh công cộng/bảo đảm an toàn (cho công nhân tham gia sản xuất)/công an/nhân viên bảo vệ,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard
3,保持,bǎochí,bảo trì,保持,V,,giữ/duy trì/nắm giữ/bảo tồn,to keep; to maintain; to hold; to preserve
3,保存,bǎocún,bảo tồn,保存,V,,"bảo tồn/bảo quản/giữ/lưu (tệp, v.v.) (tin học)",to conserve; to preserve; to keep; to save (a file etc) (computing)
3,保护,bǎohù,bảo hộ,保護,V,,bảo vệ/phòng thủ/bảo hộ/sự bảo vệ/LT:種|种[zhong3],to protect; to defend; to safeguard; protection
3,保留,bǎoliú,bảo lưu,保留,V,,giữ/lưu giữ/có bảo lưu (về điều gì đó)/giữ lại (không nói điều gì đó)/để dành cho sau,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later
3,保险,bǎoxiǎn,bảo hiểm,保險,Adj/N,,bảo hiểm/an toàn/bảo đảm/chắc chắn/nhất định phải/LT:份[fen4],insurance; to insure; safe; secure; be sure; be bound to
3,保证,bǎozhèng,bảo chứng,保證,V/N,,bảo đảm/đảm bảo/bảo chứng/bảo vệ/cam kết/LT:個|个[ge4],guarantee; to guarantee; to ensure; to safeguard; to pledge
3,报,bào,báo,報,N,,"thông báo/thông tin/báo cáo/báo chí/báo đáp/trả thù/LT: 份[fen4], 張|张[zhang1]",to announce; to inform; report; newspaper; recompense; revenge
3,报到,bàodào,báo đáo,報到,,,báo cáo có mặt/đăng ký/điểm danh,to report for duty; to check in; to register
3,报道,bàodào,báo đạo,報道,V/N,,"đưa tin (tin tức)/bản tin/LT:篇[pian1],份[fen4]",to report (news); report
3,报告,bàogào,báo cáo,報告,V/N,,"thông báo/báo cáo/cho biết/bản báo cáo/bài phát biểu/bài nói chuyện/bài giảng/LT:篇[pian1],份[fen4],個|个[ge4],通[tong4]",to inform; to report; to make known; report; speech; talk; lecture
3,背,bēi,bối,背,V,,lưng của cơ thể hoặc vật/ngoảnh lưng lại/che giấu/học thuộc lòng/nhớ để đọc/không may (tiếng lóng)/lãng tai,variant of 背
3,北部,běibù,bắc bộ,北部,N,,phần phía bắc,northern part
3,背,bèi,bối,背,N,,lưng của cơ thể hoặc vật/ngoảnh lưng lại/che giấu/học thuộc lòng/nhớ để đọc/không may (tiếng lóng)/lãng tai,variant of 背
3,背后,bèihòu,bối hậu,背後,N,,phía sau/ở đằng sau/phía sau lưng/sau lưng ai đó,behind; at the back; in the rear; behind sb's back
3,被,bèi,bị,被,Prep,,"chăn/đắp (bằng)/(văn học) chịu (một điều không may)/dùng để chỉ thể bị động (đặt trước người thực hiện hành động như ""bởi"" trong câu bị động tiếng Anh, hoặc, nếu không nhắc đến người thực hiện, thì đặt trước động từ)/(khoảng năm 2009) (mỉa mai hoặc hài hước) dùng để chỉ rằng từ sau đó nên được hiểu là trong dấu ngoặc kép (như trong 被旅遊|被旅游[bei4 lu:3 you2] ""đi du lịch"", chẳng hạn)","quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)"
3,被子,bèizi,bị tử,被子,N,,chăn/LT:床[chuang2],quilt
3,本来,běnlái,bổn lai,本來,Adj/Adv,,gốc gác/vốn dĩ/lúc đầu/không cần nói cũng rõ/tất nhiên,original; originally; at first; it goes without saying; of course
3,本领,běnlǐng,bổn lĩnh,本領,N,,"kỹ năng/khả năng/năng lực/LT:項|项[xiang4],個|个[ge4]",skill; ability; capability
3,本事,běnshi,bổn sự,本事,N,,khả năng/kỹ năng,source material; original story
3,比较,bǐjiào,bỉ giác,比較,Adv/V,,so sánh/đối chiếu/tương đối/khá/phân tích so sánh/sự so sánh,to compare; to contrast; comparatively; relatively; quite; comparison
3,比例,bǐlì,bỉ lệ,比例,N,,tỷ lệ/quy mô,proportion; scale
3,比赛,bǐsài,bỉ tái,比賽,V/N,,"cuộc thi (thể thao, v.v.)/trận đấu/LT:場|场[chang3],次[ci4]/thi đấu",competition (sports etc); match; to compete
3,必然,bìrán,tất nhiên,必然,Adj,,không thể tránh khỏi/chắc chắn/tất yếu,inevitable; certain; necessity
3,必要,bìyào,tất yếu,必要,Adj/N,,cần thiết/thiết yếu/không thể thiếu/bắt buộc,necessary; essential; indispensable; required
3,变化,biànhuà,biến hóa,變化,V/N,,thay đổi; biến đổi; biến hoá/LT:個|个[ge4],(intransitive) to change; to vary; change; variation
3,变为,biànwéi,biến vi,變為,,,thay đổi thành,to change into
3,标题,biāotí,tiêu đề,標題,N,,tiêu đề/đề mục/tựa đề/chú thích/chủ đề,title; heading; headline; caption; subject
3,标准,biāozhǔn,tiêu chuẩn,標準,N/Adj,,tiêu chuẩn; chuẩn mực; tiêu chí/(tính từ) chuẩn/tốt; đúng; phù hợp với tiêu chuẩn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
3,表达,biǎodá,biểu đạt,表達,V,,diễn đạt; truyền tải,to express; to convey
3,表格,biǎogé,biểu cách,表格,N,,"biểu mẫu/bảng/LT:張|张[zhang1],份[fen4]",form; table
3,表面,biǎomiàn,biểu diện,表面,N,,bề mặt/bề ngoài/bên ngoài/diện mạo,surface; face; outside; appearance
3,表明,biǎomíng,biểu minh,表明,V,,làm rõ/cho biết/nói rõ/chỉ ra/được biết,to make clear; to make known; to state clearly; to indicate; known
3,表现,biǎoxiàn,biểu hiện,表現,V/N,,"thể hiện/phô diễn/trình bày/biểu lộ/biểu hiện/sự thể hiện/sự phô diễn/màn trình diễn/hiệu suất (trong công việc, v.v.)/hành vi",to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
3,表演,biǎoyǎn,biểu diễn,表演,V/N,,vở kịch/buổi biểu diễn/trình diễn/biểu diễn/diễn xuất/minh họa/LT:場|场[chang3],play; show; performance; exhibition; to perform; to act; to demonstrate
3,并,bìng,tinh,並,Adv/Conj,,biến thể của 並|并[bing4],and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge
3,并且,bìngqiě,tinh thả,並且,Conj,,và; bên cạnh đó; hơn nữa; ngoài ra; thêm vào đó,and; besides; moreover; furthermore; in addition
3,播出,bōchū,bá xuất,播出,,,"phát sóng/phát (chương trình TV, v.v.)",to broadcast; to air (a TV program etc)
3,播放,bōfàng,bá phóng,播放,V,,phát sóng; truyền tải (qua radio hoặc TV),to broadcast; to transmit (by radio or TV)
3,不必,bùbì,bất tất,不必,Adv,,không cần/không phải/cũng không nhất thiết,need not; does not have to; not necessarily
3,不断,bùduàn,bất đoạn,不斷,V/Adv,,không ngừng/không gián đoạn/liên tục/không đổi,unceasing; uninterrupted; continuous; constant
3,不论,bùlùn,bất luận,不論,Conj,,"bất kể/cho dù là (ai, như thế nào, v.v.)/bất chấp/không bàn đến","whatever; no matter what (who, how etc); regardless of; not to discuss"
3,补,bǔ,bổ,補,V,,sửa/chắp vá/vá/bù đắp/lấp đầy (chỗ trống)/bổ sung,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement
3,补充,bǔchōng,bổ sung,補充,V/N,,bổ sung/bổ trợ/thêm vào/LT:個|个[ge4],to replenish; to supplement; to complement; additional; supplementary
3,不安,bù'ān,bất an,不安,Adj,,không yên/bất ổn/bất an/rối bời/bồn chồn/lo lắng,unpeaceful; unstable; uneasy; disturbed; restless; worried
3,不得不,bùdébù,bất đắc bất,不得不,,,không có lựa chọn nào khác ngoài/phải/đành phải/không thể không/không tránh được,have no choice or option but to; cannot but; have to; can't help it; can't avoid
3,不光,bùguāng,bất quang,不光,Adv/Conj,,không phải duy nhất/không chỉ,not the only one; not only
3,不仅,bùjǐn,bất cận,不僅,Conj,,"không chỉ; không giới hạn ở/(như một liên từ tương quan) không những (..., mà còn ...)","not just; not limited to; (as a correlative conjunction) not only (..., but also ...)"
3,布,bù,bố,布,N,,vải/tuyên bố/thông báo/truyền ra/làm cho biết,variant of 布; to announce; to spread
3,步,bù,bộ,步,N/M,,một bước/nhịp bước/đi/bước đi/các giai đoạn trong một quá trình/tình huống,surname Bu
3,部,bù,bộ,部,N/M,,"bộ/phòng/ban/phần/khoa/quân đội/cục/lượng từ cho tác phẩm văn học, phim ảnh, máy móc, v.v.","ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc"
3,部门,bùmén,bộ môn,部門,N,,phòng/ban/chi nhánh/bộ phận/LT:個|个[ge4],department; branch; section; division
3,部长,bùzhǎng,bộ trường,部長,N,,"người đứng đầu một bộ (chính phủ, v.v.)/trưởng phòng/trưởng khoa/thư ký/bộ trưởng/LT:個|个[ge4],位[wei4],名[ming2]",head of a (government etc) department; section chief; section head; secretary; minister
3,才能,cáinéng,tài năng,才能,N,,tài năng/khả năng/năng lực,talent; ability; capacity
3,采取,cǎiqǔ,thải thủ,採取,V,,"áp dụng hoặc tiến hành (biện pháp, chính sách, hành động)/thực hiện","to adopt or carry out (measures, policies, course of action); to take"
3,采用,cǎiyòng,thải dụng,採用,V,,áp dụng/sử dụng/dùng,to adopt; to employ; to use
3,彩色,cǎisè,thải sắc,彩色,N,,màu/sặc sỡ/LT:種|种[zhong3],color; multicolored
3,曾经,céngjīng,tằng kinh,曾經,Adv,,một lần/đã/từng/trước đây/(dùng ở thì quá khứ trước động từ hoặc mệnh đề),once; already; former; previously; ever; (past tense marker used before verb or clause)
3,产生,chǎnshēng,sản sanh,產生,V,,phát sinh; hình thành; xảy ra/tạo ra; làm phát sinh; dẫn đến; sản xuất; sinh ra; tạo thành,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate
3,长城,Chángchéng,trường thành,長城,N,,Vạn Lý Trường Thành,the Great Wall
3,长处,chángchù,trường xứ,長處,N,,điểm tốt/điểm mạnh,good aspects; strong points
3,长期,chángqī,trường kỳ,長期,N,,dài hạn/thời gian dài/dài hạn (của dự báo),long term; long time; long range (of a forecast)
3,厂,chǎng,hán,廠,N,,nhà máy/sân/kho/xưởng/công xưởng/cơ xưởng (công nghiệp),"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc"
3,场合,chǎnghé,tràng hợp,場合,N,,tình huống/dịp/ngữ cảnh/bối cảnh/địa điểm,situation; occasion; context; setting; location; venue
3,场所,chǎngsuǒ,tràng sở,場所,N,,địa điểm/nơi chốn,location; place
3,超级,chāojí,siêu cấp,超級,Adj,,siêu-/cực-/siêu cấp-,super-; ultra-; hyper-
3,朝,cháo,triêu,朝,Prep/V,,buổi sáng,abbr. for 朝鲜 Korea
3,吵,chǎo,sảo,吵,Adj/V,,cãi nhau/gây ồn ào/ồn ào/làm phiền bằng cách gây ồn,to quarrel; to make a noise; noisy; to disturb by making a noise
3,吵架,chǎojià,sảo giá,吵架,,,cãi nhau/có cuộc cãi vã/cãi vã/LT:頓|顿[dun4],to quarrel; to have a row; quarrel
3,衬衫,chènshān,sấn sam,襯衫,N,,áo sơ mi/áo blouse/LT:件[jian4],shirt; blouse
3,衬衣,chènyī,sấn y,襯衣,N,,áo sơ mi/LT:件[jian4],shirt
3,称为,chēngwéi,xưng vi,稱為,,,"được gọi là; được biết đến như; gọi là ""...""","to be called; to be known as; to call it ""..."""
3,成功,chénggōng,thành công,成功,V/Adj,,thành công/sự thành công/thành công; có kết quả tốt,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan"
3,成果,chéngguǒ,thành quả,成果,N,,kết quả/thành tựu/thu được/lợi nhuận/LT:個|个[ge4],result; achievement; gain; profit
3,成就,chéngjiù,thành tựu,成就,N/V,,thành tựu/thành công/đạt được/LT:個|个[ge4]/đạt được (một kết quả)/tạo ra/mang lại,accomplishment; success; achievement; to achieve (a result); to create; to bring about
3,成立,chénglì,thành lập,成立,V,,thiết lập/lập nên/có thể đứng vững/hợp lý,to establish; to set up; to be tenable; to hold water
3,成熟,chéngshú,thành thục,成熟,Adj,,trưởng thành; chín/trưởng thành; làm cho chín/cách phát âm ở Đài Loan [cheng2 shou2],mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu]
3,成员,chéngyuán,thành viên,成員,N,,thành viên,member
3,成长,chéngzhǎng,thành trường,成長,V,,trưởng thành/phát triển/tăng trưởng,to mature; to grow; growth
3,城,chéng,thành,城,N,,"tường thành/thành phố/thị trấn/LT:座[zuo4],道[dao4],個|个[ge4]",city walls; city; town
3,城市,chéngshì,thành thị,城市,N,,thành phố; thị trấn/LT:座[zuo4],city; town
3,程度,chéngdù,trình độ,程度,N,,mức độ; trình độ; phạm vi,degree; level; extent
3,持续,chíxù,trì tục,持續,V,,tiếp tục/kiên trì/kéo dài/bền vững/bảo tồn,to continue; to persist; to last; sustainable; preservation
3,充满,chōngmǎn,sung mãn,充滿,V,,đầy/rạng rỡ/rất đầy/thấm đẫm,full of; brimming with; very full; permeated
3,重,chóng,trọng,重,Adv,,nặng/nghiêm trọng/coi trọng,to repeat; repetition; again; re-; classifier: layer
3,初,chū,sơ,初,Adv,,lúc đầu/(vào) lúc bắt đầu/đầu tiên/sơ cấp/cơ bản,at first; (at the) beginning; first; junior; basic
3,初,chū,sơ,初,Prefix,,lúc đầu/(vào) lúc bắt đầu/đầu tiên/sơ cấp/cơ bản,at first; (at the) beginning; first; junior; basic
3,初一,chūyī,sơ nhất,初一,N,1,ngày mùng một tháng âm lịch/Tết Nguyên Đán/năm thứ nhất trung học cơ sở,first day of lunar month; New Year's Day; first year in junior middle school
3,初步,chūbù,sơ bộ,初步,Adj,,ban đầu/sơ bộ/dự kiến,initial; preliminary; tentative
3,初级,chūjí,sơ cấp,初級,Adj,,sơ cấp/cơ bản,junior; primary
3,初中,chūzhōng,sơ trung,初中,N,,trường trung học cơ sở (viết tắt của 初級中學|初级中学[chu1 ji2 zhong1 xue2]),junior high school (abbr. for 初级中学)
3,除了,chúle,trừ liễu,除了,Prep,,ngoài ra/ngoài (... còn...)/thêm vào/ngoại trừ,besides; apart from (... also...); in addition to; except (for)
3,处理,chǔlǐ,xứ lý,處理,V/N,,xử lý; đối phó/xử phạt/xử lý bằng quy trình đặc biệt; gia công/bán giảm giá,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices
3,传,chuán,truyện,傳,V,,tiểu sử/tường thuật lịch sử/chú giải/trạm trung chuyển,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity)
3,传播,chuánbō,truyện bá,傳播,V,,truyền bá; phổ biến; lan truyền,to disseminate; to propagate; to spread
3,传来,chuánlái,truyện lai,傳來,,,(về âm thanh) truyền đến/được nghe thấy/(về tin tức) đến,(of a sound) to come through; to be heard; (of news) to arrive
3,传说,chuánshuō,truyện thuyết,傳說,V/N,,truyền thuyết; câu chuyện dân gian/thuật lại từ người này sang người khác; người ta nói rằng...,legend; folk tale; to repeat from mouth to mouth; they say that...
3,创新,chuàngxīn,sang tân,創新,V/N,,đề xuất ý tưởng mới; mở đường mới/đổi mới,to bring forth new ideas; to blaze new trails; innovation
3,创业,chuàngyè,sang nghiệp,創業,V,,bắt đầu sự nghiệp; khởi nghiệp/tinh thần khởi nghiệp,to begin an undertaking; to start a major task; to initiate; to venture; venture; entrepreneurship
3,创造,chuàngzào,sang tạo,創造,V/N,,tạo ra/mang lại/sản xuất/lập (kỷ lục),to create; to bring about; to produce; to set (a record)
3,创作,chuàngzuò,sang tác,創作,V/N,,sáng tác; sản xuất; viết/một tác phẩm sáng tạo; một sự sáng tạo,to create; to produce; to write; creative work; creation
3,从来,cónglái,tòng lai,從來,Adv,,luôn luôn/mọi lúc/không bao giờ (nếu dùng trong câu phủ định),always; at all times; never (if used in negative sentence)
3,从前,cóngqián,tòng tiền,從前,N,,trước đây/ngày xưa/ngày xửa ngày xưa,previously; formerly; once upon a time
3,从事,cóngshì,tòng sự,從事,V,,làm/gia nhập/thực hiện/xử lý/đối phó,to go for; to engage in; to undertake; to deal with; to handle; to do
3,村,cūn,thôn,村,N,,biến thể của 村[cun1],village
3,存,cún,tồn,存,V,,tồn tại/gửi/lưu trữ/giữ/sống sót,to exist; to deposit; to store; to keep; to survive
3,存在,cúnzài,tồn tại,存在,V,,tồn tại/là/sự tồn tại,to exist; to be; existence
3,错误,cuòwù,thác ngộ,錯誤,Adj/N,,sai lầm; sai; không đúng/lỗi; sai sót/LT:個|个[ge4],mistaken; false; wrong; error; mistake
3,达到,dádào,đạt đáo,達到,,,đạt tới; đạt được; đạt đến,to reach; to achieve; to attain
3,打破,dǎpò,đả phá,打破,,,làm vỡ; đập vỡ,to break; to smash
3,打听,dǎting,đả thính,打聽,V,,hỏi thăm/tìm hiểu/hỏi quanh,to ask about; to make some inquiries; to ask around
3,大概,dàgài,đại khái,大概,Adj/Adv,,đại khái/có lẽ/không chi tiết/xấp xỉ/khoảng/ý tổng quát,roughly; probably; rough; approximate; about; general idea
3,大使馆,dàshǐguǎn,đại sử quán,大使館,N,,"đại sứ quán/LT:座[zuo4],個|个[ge4]",embassy
3,大约,dàyuē,đại ước,大約,Adv,,khoảng/chắc là,approximately; probably
3,大夫,dàifu,đại phu,大夫,N,,bác sĩ/thầy thuốc,senior official (in imperial China)
3,代,dài,đại,代,V/N,,thay thế/làm thay cho người khác/thế hệ/triều đại/thời đại/giai đoạn/kỷ nguyên (lịch sử)/đại (địa chất),to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon
3,代表,dàibiǎo,đại biểu,代表,N/V,,"đại diện/đại biểu/LT:位[wei4],個|个[ge4],名[ming2]/tượng trưng/thay mặt/nhân danh",representative; delegate; to represent; to stand for; on behalf of; in the name of
3,代表团,dàibiǎotuán,đại biểu đoàn,代表團,N,,đoàn đại biểu/LT:個|个[ge4],delegation
3,带动,dàidòng,đái động,帶動,V,,thúc đẩy; tạo động lực; dẫn động,to spur; to provide impetus; to drive
3,带领,dàilǐng,đái lĩnh,帶領,V,,dẫn dắt/lãnh đạo,to guide; to lead
3,单元,dānyuán,đan nguyên,單元,N,,đơn vị (hình thành một thể)/thành phần/(trong toà nhà chung cư) lối vào hoặc cầu thang,unit (forming an entity); element; (in a residential building) entrance or staircase
3,当初,dāngchū,đương sơ,當初,N,,lúc đó/ban đầu,at that time; originally
3,当地,dāngdì,đương địa,當地,N,,địa phương,local
3,当然,dāngrán,đương nhiên,當然,Adj/Adv,,đương nhiên/như lẽ ra phải thế/tất nhiên/dĩ nhiên/không nghi ngờ gì,only natural; as it should be; certainly; of course; without doubt
3,当中,dāngzhōng,đương trung,當中,N,,giữa/ở giữa/ở trung tâm,among; in the middle; in the center
3,刀,dāo,đao,刀,N,,dao/lưỡi dao/kiếm một lưỡi/đoản đao/LT:把[ba3]/(tiếng lóng) đô la (từ mượn)/lượng từ cho bộ một trăm tờ (giấy)/lượng từ cho vết cắt hoặc nhát đâm,surname Dao
3,导演,dǎoyǎn,đạo diễn,導演,V/N,,"đạo diễn/đạo diễn (phim, v.v.)",to direct; director (film etc)
3,到达,dàodá,đáo đạt,到達,V,,đạt đến; đến nơi,to reach; to arrive
3,到底,dàodǐ,đáo để,到底,Adv,,cuối cùng/rốt cuộc/khi tất cả đã được nói và làm/xét cho cùng/đến cuối cùng/đến tận cùng,finally; in the end; when all is said and done; after all; to the end; to the last
3,得分,défēn,đắc phân,得分,V/N,,ghi điểm,to score
3,等待,děngdài,đẳng đãi,等待,V,,chờ; chờ đợi,to wait; to wait for
3,底下,dǐxia,để hạ,底下,N,,vị trí bên dưới cái gì/sau đó,the location below sth; afterwards
3,地区,dìqū,địa khu,地區,N,,"địa phương/khu vực/quận (không nhất thiết là đơn vị hành chính chính thức)/vùng/khu/ví dụ như hậu tố tên thành phố, có nghĩa là quận hoặc huyện (khu vực do thành phố cấp địa khu hoặc thành phố cấp huyện quản lý)/LT:個|个[ge4]","local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)"
3,电视剧,diànshìjù,điện thị kịch,電視劇,N,,phim truyền hình/phim bộ/LT:部[bu4],TV series; TV drama
3,电视台,diànshìtái,điện thị thai,電視臺,N,,đài truyền hình/LT:個|个[ge4],television station
3,电台,diàntái,điện thai,電臺,N,,"máy phát thu/trạm phát sóng/đài phát thanh/LT:個|个[ge4],家[jia1]",transmitter-receiver; broadcasting station; radio station
3,电子邮件,diànzǐ yóujiàn,điện tử bưu kiện,電子郵件,,,"email/LT:封[feng1],份[fen4]",email
3,调,diào,điều,調,V,,hòa hợp/hòa giải/phối hợp/phù hợp tốt/điều chỉnh/điều tiết/nêm nếm (thức ăn)/kích động/xúi giục,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody
3,调查,diàochá,điều tra,調查,V/N,,"điều tra/cuộc điều tra/khảo sát/cuộc thăm dò (ý kiến)/LT:項|项[xiang4],個|个[ge4]",investigation; inquiry; to investigate; to survey; survey; (opinion) poll
3,订,dìng,đính,訂,V,,"đồng ý/kết luận/lập ra/đặt mua (báo chí,...)/đặt hàng",to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order
3,定期,dìngqī,định kỳ,定期,V/Adj,,vào các ngày cố định/định kỳ/theo định kỳ/có thời hạn giới hạn/thời hạn cố định,at set dates; at regular intervals; periodic; limited to a fixed period of time; fixed term
3,东部,dōngbù,đông bộ,東部,N,,miền đông/phần phía đông,the east; eastern part
3,动力,dònglì,động lực,動力,N,,động lực (vật lý)/lực/(nghĩa bóng) động cơ/thúc đẩy,motive power; force; (fig.) motivation; impetus
3,动人,dòngrén,động nhân,動人,Adj,,cảm động/xúc động,touching; moving
3,读者,dúzhě,độc giả,讀者,N,,độc giả,reader
3,短处,duǎnchù,đoản xứ,短處,N,,khuyết điểm/thiếu sót/lỗi/điểm yếu của một người,shortcoming; defect; fault; one's weak points
3,短裤,duǎnkù,đoản khố,短褲,N,,quần ngắn/quần shorts,short pants; shorts
3,短期,duǎnqī,đoản kỳ,短期,N,,ngắn hạn,short term; short-term
3,断,duàn,đoạn,斷,V,,làm gãy/bẻ gãy/cắt đứt/từ bỏ hoặc kiêng cữ cái gì/phán đoán/(thường dùng ở dạng phủ định) tuyệt đối/chắc chắn/dứt khoát,to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly
3,队员,duìyuán,đội viên,隊員,N,,thành viên đội,team member
3,对待,duìdài,đối đãi,對待,V,,đối xử/sự đối xử,to treat; treatment
3,对方,duìfāng,đối phương,對方,N,,người kia; bên kia; phía bên kia,the other person; the other side; the other party
3,对手,duìshǒu,đối thủ,對手,N,,đối thủ/địch thủ/đối thủ ngang sức/đối phương,opponent; rival; competitor; (well-matched) adversary; match
3,对象,duìxiàng,đối tượng,對象,N,,mục tiêu; đối tượng/bạn đời; bạn trai; bạn gái/LT:個|个[ge4],target; object; partner; boyfriend; girlfriend
3,顿,dùn,đốn,頓,M,,"dừng/tạm dừng/sắp xếp/bày ra/dập đầu/dậm (chân)/ngay lập tức/lượng từ cho bữa ăn, trận đòn, lời mắng, v.v.: lần, trận, đợt, bữa","to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
3,发表,fābiǎo,phát biểu,發表,V,,phát hành/công bố,to issue; to publish
3,发出,fāchū,phát xuất,發出,V,,"ban hành (mệnh lệnh, sắc lệnh, v.v.); gửi đi; phái đi/phát ra (âm thanh); bật ra (tiếng cười)","to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
3,发达,fādá,phát đạt,發達,Adj,,phát triển tốt; hưng thịnh/phát triển; thúc đẩy; mở rộng/(văn học) đạt được danh vọng và tài lộc; thịnh vượng,well-developed; flourishing; to develop; to promote; to expand; (literary) to achieve fame and fortune; to prosper
3,发动,fādòng,phát động,發動,V,,bắt đầu/phát động/khơi dậy/huy động/kích động,to start; to launch; to unleash; to mobilize; to arouse
3,发明,fāmíng,phát minh,發明,V/N,,phát minh/một phát minh/LT:個|个[ge4],to invent; an invention
3,发生,fāshēng,phát sanh,發生,V,,xảy ra; xảy đến; diễn ra; bùng phát,to happen; to occur; to take place; to break out
3,发送,fāsòng,phát tống,發送,V,,truyền đi/gửi đi/phát hành (tài liệu hoặc giấy tờ chính thức),to transmit; to dispatch; to issue (an official document or credential)
3,发言,fāyán,phát ngôn,發言,V/N,,phát biểu/tuyên bố/lời phát biểu/LT:個|个[ge4],to make a speech; statement; utterance
3,发展,fāzhǎn,phát triển,發展,V/N,,sự phát triển/tăng trưởng/phát triển/mở rộng,development; growth; to develop; to grow; to expand
3,反对,fǎnduì,phản đối,反對,V,,phản đối; chống lại,to oppose; to be against; to object to
3,反复,fǎnfù,phản phục,反覆,Adv/N,,lặp đi lặp lại/làm đi làm lại/lật ngược/không ổn định/đi đi lại lại/(bệnh) tái phát,variant of 反复
3,反应,fǎnyìng,phản ứng,反應,V/N,,phản ứng/đáp lại/phản hồi/trả lời/phản ứng hóa học/LT:個|个[ge4],to react; to respond; reaction; response; reply; chemical reaction
3,反正,fǎnzhèng,phản chánh,反正,Adv,,dù sao đi nữa/dù thế nào/chuyển từ phe địch sang,anyway; in any case; to come over from the enemy's side
